,Iteration,Fitness,FEvals,Time,State,Population Size,Mutation Rate,max_iters
77,64,5.0,13076,14.470302199999423,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 23, 0, 0, 18, 12, 31, 0, 4, 22, 25, 29, 17, 3, 20, 31, 16, 21, 21, 11]",200,0.6,4096
78,128,2.0,25943,27.668381800001953,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 0, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 21, 21, 11]",200,0.6,4096
79,256,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
80,512,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
81,1024,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
82,2048,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
83,4096,0.0,47251,48.93941339999947,"[8, 6, 30, 2, 13, 5, 24, 19, 15, 7, 26, 1, 27, 9, 0, 12, 18, 28, 31, 14, 4, 22, 25, 29, 17, 3, 20, 10, 16, 11, 21, 23]",200,0.6,4096
84,0,29.0,500,0.45637669999996433,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",500,0.1,4096
85,1,21.0,1002,0.976883799998177,"[15, 22, 19, 28, 27, 7, 21, 2, 14, 4, 0, 1, 0, 27, 14, 9, 17, 2, 31, 23, 26, 31, 23, 13, 10, 12, 3, 24, 31, 21, 23, 13]",500,0.1,4096
86,2,20.0,1504,1.542500100000325,"[9, 3, 21, 13, 3, 17, 31, 11, 1, 7, 0, 3, 25, 30, 14, 20, 28, 13, 15, 26, 1, 9, 1, 27, 10, 2, 17, 12, 3, 16, 21, 23]",500,0.1,4096
87,4,18.0,2507,2.5323673999992025,"[8, 9, 16, 0, 24, 15, 28, 17, 11, 26, 5, 18, 2, 11, 31, 23, 9, 3, 27, 8, 2, 21, 25, 7, 29, 6, 28, 21, 20, 28, 2, 19]",500,0.1,4096
88,8,18.0,4511,4.552199099998688,"[8, 9, 16, 0, 24, 15, 28, 17, 11, 26, 5, 18, 2, 11, 31, 23, 9, 3, 27, 8, 2, 21, 25, 7, 29, 6, 28, 21, 20, 28, 2, 19]",500,0.1,4096
89,16,17.0,8520,8.4442100999986,"[6, 2, 22, 20, 31, 30, 25, 5, 21, 16, 12, 2, 0, 8, 19, 27, 15, 0, 26, 13, 4, 13, 15, 29, 25, 3, 10, 16, 28, 17, 27, 21]",500,0.1,4096
90,32,14.0,16538,16.559216599998763,"[15, 2, 7, 24, 7, 3, 22, 11, 3, 21, 0, 14, 29, 23, 6, 28, 1, 18, 16, 13, 31, 3, 9, 30, 5, 15, 12, 24, 2, 25, 17, 8]",500,0.1,4096
91,64,10.0,32573,34.400498200000584,"[23, 21, 5, 12, 2, 26, 5, 18, 24, 4, 29, 1, 12, 27, 19, 30, 20, 17, 23, 10, 22, 25, 6, 3, 3, 31, 9, 24, 16, 25, 15, 7]",500,0.1,4096
92,128,3.0,64644,67.1439833000004,"[23, 8, 19, 31, 15, 20, 16, 9, 30, 27, 10, 7, 0, 29, 0, 28, 1, 18, 26, 13, 29, 25, 6, 3, 5, 2, 21, 24, 17, 12, 28, 22]",500,0.1,4096
93,256,2.0,128773,133.6023341,"[23, 8, 11, 31, 15, 20, 16, 9, 30, 27, 10, 7, 0, 29, 19, 28, 1, 18, 26, 13, 10, 25, 6, 3, 5, 2, 21, 24, 17, 12, 28, 22]",500,0.1,4096
94,512,2.0,169354,176.14393259999997,"[23, 8, 11, 31, 15, 20, 16, 9, 30, 27, 10, 7, 0, 29, 19, 28, 1, 18, 26, 13, 10, 25, 6, 3, 5, 2, 21, 24, 17, 12, 28, 22]",500,0.1,4096
95,1024,2.0,169354,176.14393259999997,"[23, 8, 11, 31, 15, 20, 16, 9, 30, 27, 10, 7, 0, 29, 19, 28, 1, 18, 26, 13, 10, 25, 6, 3, 5, 2, 21, 24, 17, 12, 28, 22]",500,0.1,4096
96,2048,2.0,169354,176.14393259999997,"[23, 8, 11, 31, 15, 20, 16, 9, 30, 27, 10, 7, 0, 29, 19, 28, 1, 18, 26, 13, 10, 25, 6, 3, 5, 2, 21, 24, 17, 12, 28, 22]",500,0.1,4096
97,4096,2.0,169354,176.14393259999997,"[23, 8, 11, 31, 15, 20, 16, 9, 30, 27, 10, 7, 0, 29, 19, 28, 1, 18, 26, 13, 10, 25, 6, 3, 5, 2, 21, 24, 17, 12, 28, 22]",500,0.1,4096
98,0,29.0,500,0.474809200000891,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",500,0.2,4096
99,1,19.0,1002,1.0108395000024757,"[11, 4, 7, 4, 29, 14, 18, 15, 0, 19, 4, 11, 19, 0, 30, 12, 31, 15, 22, 29, 20, 1, 3, 12, 10, 2, 0, 29, 17, 5, 9, 24]",500,0.2,4096
100,2,18.0,1504,1.5570241000023088,"[19, 9, 19, 28, 19, 1, 1, 27, 21, 18, 4, 24, 23, 0, 18, 29, 15, 2, 23, 12, 8, 9, 31, 14, 26, 15, 10, 30, 26, 13, 8, 17]",500,0.2,4096
101,4,18.0,2506,2.5586555000008957,"[19, 9, 19, 28, 19, 1, 1, 27, 21, 18, 4, 24, 23, 0, 18, 29, 15, 2, 23, 12, 8, 9, 31, 14, 26, 15, 10, 30, 26, 13, 8, 17]",500,0.2,4096
102,8,17.0,4511,4.543729299999541,"[1, 22, 12, 29, 2, 20, 13, 21, 21, 11, 7, 19, 28, 21, 23, 0, 5, 9, 1, 16, 15, 27, 0, 15, 3, 8, 10, 24, 19, 28, 16, 21]",500,0.2,4096
103,16,17.0,8519,8.57965890000196,"[1, 22, 12, 29, 2, 20, 13, 21, 21, 11, 7, 19, 28, 21, 23, 0, 5, 9, 1, 16, 15, 27, 0, 15, 3, 8, 10, 24, 19, 28, 16, 21]",500,0.2,4096
104,32,14.0,16537,16.415435400002025,"[1, 9, 19, 5, 3, 1, 13, 22, 17, 20, 31, 24, 28, 0, 18, 29, 2, 2, 30, 12, 8, 1, 31, 14, 26, 15, 10, 30, 23, 13, 13, 21]",500,0.2,4096
105,64,9.0,32571,32.95221289999972,"[18, 22, 12, 6, 2, 20, 13, 31, 28, 11, 7, 5, 25, 30, 1, 29, 8, 17, 30, 20, 9, 26, 0, 5, 3, 28, 10, 1, 23, 28, 16, 21]",500,0.2,4096
106,128,2.0,64640,65.18867200000022,"[18, 22, 12, 6, 2, 20, 25, 31, 24, 11, 7, 19, 4, 30, 1, 29, 5, 17, 27, 20, 15, 26, 0, 5, 3, 8, 10, 23, 9, 28, 16, 21]",500,0.2,4096
107,256,1.0,128769,130.9600943000005,"[18, 22, 12, 6, 2, 20, 25, 31, 24, 11, 7, 19, 4, 30, 1, 29, 10, 17, 27, 20, 15, 26, 0, 5, 3, 8, 14, 23, 9, 28, 16, 21]",500,0.2,4096
108,512,1.0,204921,210.87163770000188,"[18, 22, 12, 6, 2, 20, 25, 31, 24, 11, 7, 19, 4, 30, 1, 29, 10, 17, 27, 20, 15, 26, 0, 5, 3, 8, 14, 23, 9, 28, 16, 21]",500,0.2,4096
