,Iteration,Fitness,FEvals,Time,State,schedule_type,schedule_init_temp,schedule_decay,schedule_min_temp,schedule_current_value,Temperature,max_iters,schedule_exp_const
74,8,29.0,14,3.324864100002742,"[6, 19, 4, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 11, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",exponential,3,,0.001,2.950539302848474,3,4096,0.005
75,16,26.0,27,4.1896880000022065,"[6, 19, 4, 14, 10, 7, 28, 20, 26, 25, 18, 24, 10, 10, 2, 20, 3, 26, 11, 2, 8, 20, 1, 23, 11, 29, 31, 13, 31, 27, 20, 0]",exponential,3,,0.001,2.937808363202636,3,4096,0.005
76,32,27.0,55,5.128223600000638,"[6, 9, 4, 14, 10, 7, 28, 13, 26, 3, 19, 7, 10, 31, 13, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 24, 31, 12, 31, 27, 20, 0]",exponential,3,,0.001,2.924054471061763,3,4096,0.005
77,64,25.0,114,6.241989600002853,"[4, 10, 12, 12, 9, 7, 30, 13, 30, 28, 19, 7, 14, 31, 13, 12, 3, 26, 11, 29, 8, 20, 30, 23, 27, 22, 19, 11, 31, 24, 20, 0]",exponential,3,,0.001,2.907816164949755,3,4096,0.005
78,128,23.0,219,7.517088800002966,"[3, 0, 16, 23, 9, 15, 30, 13, 30, 28, 24, 28, 14, 20, 0, 29, 0, 1, 22, 8, 8, 13, 30, 0, 19, 5, 23, 0, 17, 10, 2, 14]",exponential,3,,0.001,2.889336366158596,3,4096,0.005
79,256,18.0,427,9.293048700001236,"[3, 0, 11, 1, 29, 25, 13, 9, 30, 25, 28, 17, 28, 1, 15, 6, 7, 2, 7, 16, 4, 15, 24, 0, 6, 1, 21, 7, 14, 16, 20, 12]",exponential,3,,0.001,2.863793215409053,3,4096,0.005
80,512,8.0,752,12.019990200002212,"[18, 11, 20, 8, 13, 0, 25, 22, 2, 29, 23, 17, 3, 1, 27, 30, 28, 2, 19, 5, 4, 4, 14, 31, 6, 25, 1, 16, 7, 10, 26, 9]",exponential,3,,0.001,2.825011223944183,3,4096,0.005
81,1024,4.0,1300,17.037104000002728,"[12, 6, 23, 20, 13, 15, 28, 26, 2, 29, 8, 17, 3, 1, 27, 30, 11, 4, 19, 5, 31, 11, 14, 31, 7, 4, 0, 16, 21, 10, 22, 9]",exponential,3,,0.001,2.7550256934239754,3,4096,0.005
82,2048,2.0,2366,27.460822000000917,"[12, 6, 9, 20, 13, 15, 28, 23, 5, 24, 18, 31, 3, 1, 27, 10, 30, 4, 29, 17, 2, 11, 26, 22, 7, 19, 0, 16, 14, 21, 8, 27]",exponential,3,,0.001,2.615115274751141,3,4096,0.005
83,4096,1.0,4445,60.085982200002036,"[3, 6, 25, 20, 13, 15, 28, 23, 10, 24, 31, 4, 9, 1, 14, 10, 30, 18, 29, 5, 2, 11, 26, 22, 7, 19, 0, 16, 12, 21, 8, 27]",exponential,3,,0.001,2.2214994096903764,3,4096,0.005
84,0,29.0,0,0.0051558999984990805,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 22, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,4,0.99,0.001,3.9997927312637787,4,4096,
85,1,29.0,2,0.6441654999980528,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 26, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,4,0.99,0.001,3.974187328323612,4,4096,
86,2,31.0,4,1.541040600000997,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 5, 1, 31, 27, 20, 0]",geometric,4,0.99,0.001,3.938525385150905,4,4096,
87,4,32.0,8,2.5060436999992817,"[6, 19, 28, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 23, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",geometric,4,0.99,0.001,3.9005118194109714,4,4096,
88,8,29.0,14,3.5254208000005747,"[6, 19, 4, 14, 10, 7, 28, 20, 6, 25, 18, 24, 10, 10, 23, 20, 3, 7, 11, 2, 21, 20, 1, 23, 11, 29, 31, 28, 31, 27, 20, 0]",geometric,4,0.99,0.001,3.8607547600528433,4,4096,
89,16,28.0,28,4.543872400001419,"[6, 19, 4, 14, 10, 7, 11, 20, 26, 25, 18, 24, 10, 10, 2, 20, 3, 26, 11, 2, 8, 20, 1, 23, 11, 29, 31, 13, 31, 27, 20, 0]",geometric,4,0.99,0.001,3.821438480931987,4,4096,
90,32,29.0,57,5.66699030000018,"[6, 9, 4, 18, 10, 7, 11, 13, 26, 3, 19, 7, 10, 31, 13, 12, 3, 26, 11, 2, 8, 20, 1, 23, 30, 24, 31, 12, 31, 27, 20, 0]",geometric,4,0.99,0.001,3.7785457195511953,4,4096,
91,64,28.0,116,6.953971399998409,"[4, 0, 12, 18, 15, 7, 5, 13, 30, 28, 29, 7, 10, 31, 13, 12, 8, 26, 11, 13, 8, 28, 6, 23, 26, 22, 2, 11, 3, 30, 6, 7]",geometric,4,0.99,0.001,3.7299864951063975,4,4096,
92,128,20.0,217,8.42351200000121,"[5, 28, 31, 0, 27, 12, 5, 13, 2, 28, 29, 7, 10, 20, 27, 30, 24, 7, 9, 23, 8, 22, 6, 23, 29, 5, 1, 17, 17, 10, 5, 16]",geometric,4,0.99,0.001,3.67530174381185,4,4096,
